#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 3 -H 230 -W 230 -k 64 -y 7 -x 7 -p 0 -q 0 -u 2 -v 2 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
Im2d2Col_gfx906, 1, 67568, {  43008       1       1}, {  256     1     1}, 5796, 22, 32,       672.00,       728.75,       133.12,         0.00,         6.00,         0.00,        48.62,         0.00,       337.44,      3603.00
miog_betac_alphaab_gfx906, 2, 67568, {  50176       1       1}, {  256     1     1}, 8448, 54, 20,       784.00,      2718.00,        86.00,         0.00,         6.00,         0.00,        59.00,         0.00,      3676.19,      1568.03
miog_betac_alphaab_gfx906, 3, 67568, {  50176       1       1}, {  256     1     1}, 8448, 54, 20,       784.00,      2718.00,        86.00,         0.00,         6.00,         0.00,        59.00,         0.00,      3678.75,      1568.00
sp3AsmConvRxSU_gfx906, 4, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343674.39,     92991.69,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19860.31,    100352.03
MIOpenCDFGen4_gfx906, 5, 67568, {    112     224      64}, {   16    16     1}, 12488, 64, 32,     25088.00,      8970.00,       222.50,         0.00,         5.00,         0.00,        77.75,         0.00,     39721.81,    100352.00
MIOpenConvUni_gfx906, 6, 67568, {   6272       8      64}, {  128     1     1}, 7044, 63, 32,     50176.00,      4069.00,       210.00,         0.00,         3.00,         0.00,        59.50,         0.00,     20286.94,    100352.06
sp3AsmConvRxSU_gfx906, 7, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343680.54,     93004.02,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19863.94,    100352.00
sp3AsmConvRxSU_gfx906, 8, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343698.40,     92995.56,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19856.31,    100352.03
sp3AsmConvRxSU_gfx906, 9, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343699.98,     93008.74,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19877.81,    100352.00
sp3AsmConvRxSU_gfx906, 10, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343693.31,     93007.05,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19862.25,    100352.03
sp3AsmConvRxSU_gfx906, 11, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343658.77,     92983.35,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19878.69,    100352.00
sp3AsmConvRxSU_gfx906, 12, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343698.41,     93006.16,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19867.12,    100352.03
sp3AsmConvRxSU_gfx906, 13, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343702.57,     92995.37,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19855.50,    100352.00
sp3AsmConvRxSU_gfx906, 14, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343706.36,     93013.53,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19884.75,    100352.03
sp3AsmConvRxSU_gfx906, 15, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343677.62,     92992.78,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19842.00,    100352.00
#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 64 -H 56 -W 56 -k 256 -y 1 -x 1 -p 0 -q 0 -u 1 -v 1 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
Cijk_Ailk_Bljk_SB_MT64x128x16_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS0_FL1_GRVW4_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR0_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW4_WG16_16_1_WGM1_gfx906, 1, 67620, {  12544       2      64}, {  256     1     1}, 12288, 64, 98,     25088.00,      2192.00,       216.04,        12.00,        35.00,         8.00,         0.00,         0.00,     28444.94,    100352.00
(anonymous&nbsp;namespace)::hip_fill_n<256u&comma;&nbsp;unsigned&nbsp;int*&comma;&nbsp;unsigned&nbsp;long&comma;&nbsp;unsigned&nbsp;int>_gfx906, 2, 67620, {51380224       1       1}, {  256     1     1}, 0, 11, 18,    802816.00,        38.00,         9.00,         0.00,         4.00,         0.00,         1.00,         0.00,         4.69,    100352.00
Cijk_Ailk_Bljk_SB_MT64x128x16_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS0_FL1_GRVW4_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR0_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW4_WG16_16_1_WGM1_gfx906, 3, 67620, {  12544       2      64}, {  256     1     1}, 12288, 64, 98,     25088.00,      2192.00,       216.04,        12.00,        35.00,         8.00,         0.00,         0.00,     28658.06,    100352.00
sp3AsmConvRxSU_gfx906, 4, 67620, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    487941.15,     79738.12,     25122.00,         3.00,      1576.00,         0.00,         0.00,     52311.12,    100366.78
gcnAsmConv1x1U_gfx906, 5, 67620, {  12544       8      16}, {  256     1     1}, 8192, 84, 91,     25088.00,      2203.00,      1227.50,       128.00,       259.00,        32.00,         0.00,         0.00,    123513.19,    100352.00
MIOpenConv1x1_gfx906, 6, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25449.38,    100352.00
MIOpenConv1x1_gfx906, 7, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25462.00,    100352.00
MIOpenConv1x1_gfx906, 8, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25451.19,    100352.00
MIOpenConv1x1_gfx906, 9, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25480.44,    100352.00
MIOpenConv1x1_gfx906, 10, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25482.81,    100352.00
MIOpenConv1x1_gfx906, 11, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25508.94,    100352.00
MIOpenConv1x1_gfx906, 12, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25494.69,    100352.00
MIOpenConv1x1_gfx906, 13, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25474.62,    100352.00
MIOpenConv1x1_gfx906, 14, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25501.06,    100352.00
MIOpenConv1x1_gfx906, 15, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25500.12,    100352.00
#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 64 -H 56 -W 56 -k 64 -y 1 -x 1 -p 0 -q 0 -u 1 -v 1 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
Cijk_Ailk_Bljk_SB_MT64x64x16_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS1_FL1_GRVW4_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR1_PLR1_RK0_SU32_SNLL0_TT4_4_USFGRO0_VAW1_VW4_WG16_16_1_WGM1_gfx906, 1, 67677, {  12544       1      64}, {  256     1     1}, 16384, 47, 98,     12544.00,      1133.00,       207.04,         8.00,        35.00,         4.00,         0.00,         0.00,     25124.81,     25088.00
(anonymous&nbsp;namespace)::hip_fill_n<256u&comma;&nbsp;unsigned&nbsp;int*&comma;&nbsp;unsigned&nbsp;long&comma;&nbsp;unsigned&nbsp;int>_gfx906, 2, 67677, {12845056       1       1}, {  256     1     1}, 0, 11, 18,    200704.00,        38.00,         9.00,         0.00,         4.00,         0.00,         1.00,         0.00,         7.81,     25088.00
